rid,disease_cui,symptom_cui
1283,C0240225,C0577566
118,C0241075,C0159040
1284,C0241880,C0030193
999,C0242078,C0577560
1865,C0242225,C0547030
689,C0242354,C0406569
119,C0242420,C0271052
1570,C0242420,C0271050
690,C0260662,C0521788
395,C0262979,C0007942
1285,C0262995,C0391860
120,C0263014,C0158297
1286,C0263015,C0158297
1000,C0263112,C1301340
2162,C0263152,C1301340
1866,C0263191,C1301340
1867,C0263213,C0085641
396,C0263216,C0085641
691,C0263217,C0085641
2163,C0263318,C0041834
121,C0263319,C0041834
1001,C0263320,C0041834
2164,C0263322,C0041834
122,C0263323,C0041834
1868,C0263336,C0406411
2165,C0263342,C0332573
1287,C0263351,C0157725
2166,C0263351,C0033774
1002,C0263352,C0033774
397,C0263353,C0033774
123,C0263357,C0041834
1288,C0263358,C0302310
1571,C0263358,C0041834
1869,C0263359,C0041834
692,C0263360,C0041834
693,C0263398,C0041834
1289,C0263426,C0041834
124,C0263427,C0041834
2167,C0263471,C0041834
1572,C0263577,C0041834
125,C0263589,C0013196
1573,C0263599,C0013196
398,C0263630,C0263634
1003,C0263654,C0030193
1870,C0263655,C0030193
1574,C0263656,C0476228
1004,C0263657,C0476228
1005,C0263658,C0476228
1006,C0263660,C0343211
694,C0263835,C0311222
695,C0263843,C1578453
126,C0263866,C0036396
1007,C0263866,C0030193
1575,C0263885,C0040485
696,C0263888,C0423714
1576,C0263888,C0423713
1871,C0263893,C0158297
1290,C0263894,C0030193
1577,C0263894,C0036396
127,C0263964,C0577572
1291,C0263978,C0522034
1578,C0264003,C0030193
1579,C0264004,C0030193
697,C0264130,C0030193
2168,C0264201,C0458087
1580,C0264280,C0472514
2169,C0264291,C0577562
2170,C0264291,C0577566
1008,C0264305,C0018991
1581,C0264309,C0264599
1872,C0264477,C0391860
1873,C0264584,C0577572
128,C0264589,C0264588
1582,C0264594,C0264609
1292,C0264597,C0264588
698,C0264600,C0264602
699,C0264600,C2712366
1583,C0264600,C0264609
1874,C0264600,C0264601
399,C0264603,C0264602
1009,C0264603,C0264601
1584,C0264604,C2712366
700,C0264608,C0027066
400,C0264611,C0478145
1293,C0264611,C0003564
401,C0264612,C2712367
701,C0264613,C2712366
1010,C0264619,C2712366
1011,C0264620,C2712366
1585,C0264621,C2712366
402,C0264622,C2712366
1875,C0264624,C0577562
1012,C0264625,C0577562
1586,C0264632,C2712366
1587,C0264634,C2712366
702,C0264675,C0030193
1294,C0264675,C0002962
1295,C0264675,C0348588
1296,C0264676,C0348588
1876,C0264676,C0002962
2171,C0264676,C0030193
403,C0264677,C0348588
1297,C0264677,C0030193
2172,C0264677,C0002962
129,C0264678,C0030193
404,C0264678,C0348588
1877,C0264678,C0002962
1013,C0264679,C0030193
1298,C0264679,C0002962
405,C0264680,C0030193
1299,C0264680,C0002962
1588,C0264680,C0348588
130,C0264681,C0030193
1878,C0264681,C0002962
1879,C0264681,C0348588
1014,C0264693,C0030193
1880,C0264886,C0232199
406,C0265808,C0521800
1589,C0265808,C0010520
1881,C0265894,C0587047
131,C0266000,C0221261
1300,C0266102,C0577566
2173,C0266104,C0577565
1882,C0266105,C0577566
2174,C0266835,C0375556
407,C0266837,C0232488
1301,C0266919,C0577565
408,C0266998,C0030214
703,C0266998,C0399591
1883,C0266998,C0236065
1015,C0267005,C0577566
704,C0267032,C0577565
2175,C0267167,C0426633
1016,C0267172,C0042963
1884,C0267172,C0152165
705,C0267173,C0270274
706,C0267173,C0042963
132,C0267204,C0589525
1302,C0267204,C0027498
1885,C0267204,C0042963
2176,C0267206,C0577566
1303,C0267397,C0030193
133,C0267436,C0011991
134,C0267437,C0011991
409,C0267438,C0011991
1304,C0267492,C0577566
410,C0267509,C0009806
707,C0267509,C0401149
135,C0267510,C0009806
1017,C0267511,C0009806
136,C0267515,C0002758
1018,C0267515,C0238637
411,C0267517,C0426649
1886,C0267518,C0426649
412,C0267525,C0520905
708,C0267525,C0156171
1305,C0267525,C0042963
2177,C0267545,C0016205
137,C0267556,C0011991
2178,C0267556,C0473131
1590,C0267557,C0011991
1887,C0267558,C0011991
709,C0267602,C0159061
1019,C0267613,C0267633
2179,C0267645,C0391860
2180,C0267656,C0011991
2181,C0267658,C0011991
710,C0267659,C0011991
711,C0267660,C0011991
2182,C0267661,C0011991
1306,C0267662,C0011991
2183,C0267663,C0011991
1020,C0267771,C0375556
1021,C0267786,C0577573
1888,C0267834,C0577566
1307,C0267868,C2585575
1022,C0267977,C0038187
413,C0268005,C0520966
414,C0268029,C0020440
415,C0268029,C0085383
416,C0268040,C0038187
417,C0268055,C0020440
1889,C0268226,C0027066
1591,C0268305,C1262535
1890,C0268316,C0476232
138,C0268317,C0476232
712,C0268318,C0033776
1891,C0268344,C0235980
2184,C0268813,C0032617
139,C0268877,C0577568
418,C0268919,C0406671
2185,C0268919,C0451941
1023,C0268979,C0232982
140,C0268982,C0232983
713,C0269099,C0041889
1308,C0269099,C0030193
1592,C0269100,C0030193
1024,C0269102,C0030193
1025,C0269103,C0030193
1892,C0269104,C0030193
714,C0269106,C0030193
1309,C0269107,C0030193
1893,C0269108,C0030193
419,C0269109,C0030193
141,C0269110,C0030193
715,C0269111,C0030193
2186,C0269112,C0030193
142,C0269113,C0030193
2187,C0269114,C0030193
420,C0269115,C0030193
1593,C0269116,C0030193
1594,C0269117,C0030193
1595,C0269118,C0030193
1026,C0269119,C0030193
421,C0269120,C1301340
1027,C0269120,C0030193
1028,C0269150,C0520589
1894,C0269173,C2919424
143,C0269178,C2919424
1895,C0269188,C0577570
1896,C0269220,C0240715
2188,C0269220,C0577570
2189,C0269268,C0156324
1310,C0269315,C0028961
422,C0269660,C0036572
423,C0269662,C0042963
1311,C0269662,C0020450
144,C0269663,C0042963
2190,C0269663,C0020450
424,C0269664,C0020450
1312,C0269664,C0042963
2191,C0269665,C0042963
425,C0269839,C0233138
716,C0269977,C0405326
1313,C0270148,C0010520
1314,C0270148,C0235777
717,C0270149,C0476273
1029,C0270206,C1565887
1315,C0270210,C1565887
2192,C0270218,C1565887
1897,C0270328,C0014394
1316,C0270615,C0695252
1596,C0270705,C0029625
1030,C0270708,C0478145
426,C0270736,C0234378
427,C0270736,C1961111
2193,C0270737,C0027066
1317,C0270743,C0004158
1597,C0270750,C0007758
1031,C0270756,C0007758
1898,C0270757,C0004158
1318,C0270758,C0004158
1598,C0270759,C0004158
1599,C0270788,C0221166
145,C0270793,C0375214
2194,C0270793,C0018991
1319,C0270794,C0521671
