DOID:0060339	OMIM:616201
DOID:0060341	OMIM:202650
DOID:0060342	OMIM:603671
DOID:0060346	OMIM:255995
DOID:0060347	OMIM:102520
DOID:0060347	OMIM:201310
DOID:0060348	OMIM:241410
DOID:0060349	OMIM:152950
DOID:0060350	OMIM:614723
DOID:0060351	OMIM:615157
DOID:0060352	OMIM:610253
DOID:0060353	OMIM:616462
DOID:0060354	OMIM:185070
DOID:0060355	OMIM:616208
DOID:0060356	OMIM:242840
DOID:0060357	OMIM:246700
DOID:0060358	OMIM:231680
DOID:0060359	OMIM:101120
DOID:0060360	OMIM:101840
DOID:0060362	OMIM:101850
DOID:0060363	OMIM:307030
DOID:0060364	OMIM:251300
DOID:0060365	OMIM:616367
DOID:0060366	OMIM:235510
DOID:0060366	OMIM:616006
DOID:0060367	OMIM:168601
DOID:0060368	OMIM:600116
DOID:0060369	OMIM:605909
DOID:0060370	OMIM:606324
DOID:0060371	OMIM:607060
DOID:0060372	OMIM:260300
DOID:0060373	OMIM:258850
DOID:0060374	OMIM:258860
DOID:0060375	OMIM:174300
DOID:0060376	OMIM:277170
DOID:0060377	OMIM:608518
DOID:0060378	OMIM:300484
DOID:0060380	OMIM:165590
DOID:0060381	OMIM:612913
DOID:0060382	OMIM:258865
DOID:0060383	OMIM:201170
DOID:0060384	OMIM:101805
DOID:0060385	OMIM:601829
DOID:0060386	OMIM:610448
DOID:0060386	OMIM:614415
DOID:0060387	OMIM:215045
DOID:0060389	OMIM:612242
DOID:0060390	OMIM:609625
DOID:0060391	OMIM:613884
DOID:0060392	OMIM:613457
DOID:0060393	OMIM:615656
DOID:0060394	OMIM:612001
DOID:0060395	OMIM:613406
DOID:0060396	OMIM:614294
DOID:0060397	OMIM:612626
DOID:0060398	OMIM:613444
DOID:0060399	OMIM:136570
DOID:0060400	OMIM:613604
DOID:0060401	OMIM:614541
DOID:0060402	OMIM:613776
DOID:0060403	OMIM:613675
DOID:0060404	OMIM:614527
DOID:0060405	OMIM:613355
DOID:0060406	OMIM:146390
DOID:0060407	OMIM:601808
DOID:0060408	OMIM:613026
DOID:0060409	OMIM:613735
DOID:0060410	OMIM:607872
DOID:0060411	OMIM:612474
DOID:0060412	OMIM:612530
DOID:0060413	OMIM:611867
DOID:0060414	OMIM:613564
DOID:0060415	OMIM:612513
DOID:0060416	OMIM:612345
DOID:0060417	OMIM:613792
DOID:0060418	OMIM:615433
DOID:0060419	OMIM:609425
DOID:0060420	OMIM:613509
DOID:0060421	OMIM:615668
DOID:0060422	OMIM:612582
DOID:0060423	OMIM:613544
DOID:0060424	OMIM:612863
DOID:0060425	OMIM:614230
DOID:0060426	OMIM:613638
DOID:0060427	OMIM:300679
DOID:0060428	OMIM:612313
DOID:0060430	OMIM:614671
DOID:0060431	OMIM:613458
DOID:0060432	OMIM:613215
DOID:0060433	OMIM:614526
DOID:0060434	OMIM:613533
DOID:0060435	OMIM:612475
DOID:0060436	OMIM:608363
DOID:0060437	OMIM:615538
DOID:0060438	OMIM:112240
DOID:0060438	OMIM:616294
DOID:0060439	OMIM:222700
DOID:0060444	OMIM:607541
DOID:0060445	OMIM:610048
DOID:0060446	OMIM:300779
DOID:0060447	OMIM:121820
DOID:0060448	OMIM:121850
DOID:0060449	OMIM:204870
DOID:0060450	OMIM:620763
DOID:0060451	OMIM:PS122100
DOID:0060452	OMIM:612868
DOID:0060453	OMIM:608470
DOID:0060454	OMIM:612867
DOID:0060455	OMIM:602082
DOID:0060456	OMIM:121800
DOID:0060457	OMIM:PS122000
DOID:0060458	OMIM:613681
DOID:0060459	OMIM:611936
DOID:0060460	OMIM:613174
DOID:0060461	OMIM:300801
DOID:0060462	OMIM:251450
DOID:0060462	OMIM:615777
DOID:0060464	OMIM:164280
DOID:0060464	OMIM:614326
DOID:0060465	OMIM:PS228520
DOID:0060466	OMIM:135300
DOID:0060466	OMIM:605544
DOID:0060466	OMIM:609955
DOID:0060466	OMIM:611010
DOID:0060467	OMIM:143050
DOID:0060467	OMIM:236400
DOID:0060468	OMIM:142900
DOID:0060469	OMIM:247200
DOID:0060470	OMIM:609056
DOID:0060471	OMIM:609442
DOID:0060472	OMIM:173650
DOID:0060473	OMIM:147920
DOID:0060473	OMIM:300867
DOID:0060474	OMIM:263400
DOID:0060475	OMIM:616421
DOID:0060476	OMIM:267000
DOID:0060479	OMIM:260400
DOID:0060480	OMIM:604169
DOID:0060481	OMIM:609460
DOID:0060482	OMIM:612109
DOID:0060483	OMIM:609313
DOID:0060484	OMIM:612780
DOID:0060485	OMIM:235730
DOID:0060486	OMIM:168605
DOID:0060488	OMIM:610954
DOID:0060490	OMIM:242900
DOID:0060491	OMIM:609541
DOID:0060535	OMIM:613398
DOID:0060536	OMIM:252010
DOID:0060537	OMIM:252011
